match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,0.1,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,0.2,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,0.3,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,0.4,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,0.5,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,0.6,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,1.1,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,1.2,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,1.3,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,1.4,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,1.5,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,1.6,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,2.1,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,2.2,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,2.3,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,2.4,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,2.5,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,2.6,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,3.1,Scotland,West Indies,DEM Carter,A Aitken-Drummond,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,3.2,Scotland,West Indies,DEM Carter,A Aitken-Drummond,Z James,0,4,,,4,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,3.3,Scotland,West Indies,DEM Carter,A Aitken-Drummond,Z James,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,3.4,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,3.5,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,3.6,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,4.1,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,4.2,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,4.3,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,4.4,Scotland,West Indies,DEM Carter,A Aitken-Drummond,CA Henry,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,4.5,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,4.6,Scotland,West Indies,A Aitken-Drummond,DEM Carter,CA Henry,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,5.1,Scotland,West Indies,DEM Carter,A Aitken-Drummond,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,5.2,Scotland,West Indies,DEM Carter,A Aitken-Drummond,Z James,1,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,5.3,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,5.4,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,0,0,,,,,,,,,
1477010,2025,2025-04-09,Lahore City Cricket Association Ground,1,5.5,Scotland,West Indies,A Aitken-Drummond,DEM Carter,Z James,1,0,,,,,,,,,
