match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,0.1,Thailand,West Indies,N Boochatham,C Sutthiruang,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,0.2,Thailand,West Indies,N Boochatham,C Sutthiruang,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,0.3,Thailand,West Indies,N Boochatham,C Sutthiruang,CA Henry,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,0.4,Thailand,West Indies,C Sutthiruang,N Boochatham,CA Henry,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,0.5,Thailand,West Indies,C Sutthiruang,N Boochatham,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,0.6,Thailand,West Indies,C Sutthiruang,N Boochatham,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,1.1,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,1.2,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,1.3,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,1.4,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,1.5,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,1.6,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,2.1,Thailand,West Indies,C Sutthiruang,N Boochatham,CA Henry,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,2.2,Thailand,West Indies,C Sutthiruang,N Boochatham,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,2.3,Thailand,West Indies,C Sutthiruang,N Boochatham,CA Henry,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,2.4,Thailand,West Indies,N Boochatham,C Sutthiruang,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,2.5,Thailand,West Indies,N Boochatham,C Sutthiruang,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,2.6,Thailand,West Indies,N Boochatham,C Sutthiruang,CA Henry,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,3.1,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,3.2,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,3.3,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,3.4,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,3.5,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,3.6,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,4.1,Thailand,West Indies,C Sutthiruang,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,4.2,Thailand,West Indies,C Sutthiruang,N Boochatham,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,4.3,Thailand,West Indies,N Boochatham,C Sutthiruang,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,4.4,Thailand,West Indies,N Boochatham,C Sutthiruang,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,4.5,Thailand,West Indies,N Boochatham,C Sutthiruang,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,4.6,Thailand,West Indies,N Boochatham,C Sutthiruang,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,5.1,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,5.2,Thailand,West Indies,N Boochatham,C Sutthiruang,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,5.3,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,5.4,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,5.5,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,5.6,Thailand,West Indies,C Sutthiruang,N Boochatham,HK Matthews,0,0,,,,,,bowled,C Sutthiruang,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,6.1,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,6.2,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,6.3,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,6.4,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,6.5,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,6.6,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,7.1,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,7.2,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,7.3,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,7.4,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,7.5,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,7.6,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,8.1,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,8.2,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,8.3,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,8.4,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,8.5,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,8.6,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,9.1,Thailand,West Indies,N Boochatham,N Koncharoenkai,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,9.2,Thailand,West Indies,N Boochatham,N Koncharoenkai,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,9.3,Thailand,West Indies,N Boochatham,N Koncharoenkai,HK Matthews,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,9.4,Thailand,West Indies,N Boochatham,N Koncharoenkai,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,9.5,Thailand,West Indies,N Boochatham,N Koncharoenkai,HK Matthews,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,9.6,Thailand,West Indies,N Koncharoenkai,N Boochatham,HK Matthews,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,10.1,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,10.2,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,10.3,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,10.4,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,10.5,Thailand,West Indies,N Boochatham,N Koncharoenkai,K Ramharack,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,10.6,Thailand,West Indies,N Koncharoenkai,N Boochatham,K Ramharack,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,11.1,Thailand,West Indies,N Boochatham,N Koncharoenkai,AA Alleyne,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,11.2,Thailand,West Indies,N Boochatham,N Koncharoenkai,AA Alleyne,4,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,11.3,Thailand,West Indies,N Boochatham,N Koncharoenkai,AA Alleyne,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,11.4,Thailand,West Indies,N Boochatham,N Koncharoenkai,AA Alleyne,0,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,11.5,Thailand,West Indies,N Boochatham,N Koncharoenkai,AA Alleyne,1,0,,,,,,,,,
1477023,2025,2025-04-19,"Gaddafi Stadium, Lahore",1,11.6,Thailand,West Indies,N Koncharoenkai,N Boochatham,AA Alleyne,0,0,,,,,,,,,
