match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,0.1,South Africa,Sri Lanka,L Wolvaardt,T Brits,M Madara,1,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,0.2,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,0.3,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,0.4,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,2,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,0.5,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,0.6,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,1.1,South Africa,Sri Lanka,L Wolvaardt,T Brits,BMSM Kumari,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,1.2,South Africa,Sri Lanka,L Wolvaardt,T Brits,BMSM Kumari,1,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,1.3,South Africa,Sri Lanka,T Brits,L Wolvaardt,BMSM Kumari,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,1.4,South Africa,Sri Lanka,T Brits,L Wolvaardt,BMSM Kumari,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,1.5,South Africa,Sri Lanka,T Brits,L Wolvaardt,BMSM Kumari,1,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,1.6,South Africa,Sri Lanka,L Wolvaardt,T Brits,BMSM Kumari,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,2.1,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,4,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,2.2,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,4,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,2.3,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,2.4,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,2.5,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,2.6,South Africa,Sri Lanka,T Brits,L Wolvaardt,M Madara,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,3.1,South Africa,Sri Lanka,L Wolvaardt,T Brits,BMSM Kumari,0,0,,,,,,,,,
1476985,2025,2025-05-09,"R Premadasa Stadium, Colombo",1,3.2,South Africa,Sri Lanka,L Wolvaardt,T Brits,BMSM Kumari,0,0,,,,,,,,,
