match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,0.1,Scotland,Thailand,PN Sproul,A Aitken-Drummond,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,0.2,Scotland,Thailand,PN Sproul,A Aitken-Drummond,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,0.3,Scotland,Thailand,PN Sproul,A Aitken-Drummond,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,0.4,Scotland,Thailand,PN Sproul,A Aitken-Drummond,P Maya,0,1,,,,1,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,0.5,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,0.6,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,1.1,Scotland,Thailand,PN Sproul,A Aitken-Drummond,N Boochatham,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,1.2,Scotland,Thailand,PN Sproul,A Aitken-Drummond,N Boochatham,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,1.3,Scotland,Thailand,PN Sproul,A Aitken-Drummond,N Boochatham,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,1.4,Scotland,Thailand,PN Sproul,A Aitken-Drummond,N Boochatham,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,1.5,Scotland,Thailand,PN Sproul,A Aitken-Drummond,N Boochatham,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,1.6,Scotland,Thailand,PN Sproul,A Aitken-Drummond,N Boochatham,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,2.1,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,2.2,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,4,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,2.3,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,2.4,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,4,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,2.5,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,0,0,,,,,,,,,
1477014,2025,2025-04-13,Lahore City Cricket Association Ground,1,2.6,Scotland,Thailand,A Aitken-Drummond,PN Sproul,P Maya,0,0,,,,,,,,,
