player,runs,balls_faced,fours,sixes,average,strike_rate
Mohammad Rizwan,72,101,3,0,71.29,71.29
MDN Hansika,72,173,7,0,41.62,41.62
DT Tiripano,71,132,2,2,53.79,53.79
Sana Mir,68,110,4,0,61.82,61.82
Fargana Hoque,67,149,4,0,44.97,44.97
GH Worker,67,113,3,1,59.29,59.29
MADD Surangika,66,122,7,0,54.1,54.1
PRCS Kumarihami,57,141,3,0,40.43,40.43
BB Chari,52,129,3,0,40.31,40.31
GWHM Perera,45,111,8,0,40.54,40.54
