venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
VRA Ground,2018,Bangladesh,Scotland,125,76,6,7,96.15384615384616,62.8099173553719,8,6,38,17,27,9,201,49,1,Bangladesh
Sportpark Maarschalkerweerd,2018,United Arab Emirates,Thailand,50,51,10,3,45.45454545454545,52.57731958762887,0,0,12,11,1,0,101,1,0,Thailand
VRA Ground,2018,Netherlands,United Arab Emirates,146,146,3,9,117.74193548387098,115.87301587301589,12,11,32,45,31,22,292,0,0,United Arab Emirates
Sportpark Maarschalkerweerd,2018,Papua New Guinea,Scotland,101,102,6,0,75.3731343283582,94.44444444444444,6,8,19,21,12,0,203,1,0,Scotland
VRA Ground,2018,Thailand,Uganda,113,79,7,8,92.62295081967213,63.2,9,4,27,13,17,17,192,34,1,Thailand
Sportpark Maarschalkerweerd,2018,Bangladesh,Ireland,122,97,9,10,93.12977099236642,83.62068965517241,11,11,31,23,17,8,219,25,1,Bangladesh
Kinrara Academy Oval,2018,India,Malaysia,169,27,3,10,137.39837398373984,32.142857142857146,23,3,35,6,30,0,196,142,1,India
Kinrara Academy Oval,2018,Thailand,Pakistan,67,70,8,2,54.47154471544715,86.41975308641975,3,7,24,30,7,0,137,3,0,Pakistan
Kinrara Academy Oval,2018,Pakistan,Bangladesh,95,96,5,3,77.23577235772358,88.07339449541286,8,7,26,22,25,9,191,1,0,Bangladesh
Royal Selangor Club,2018,India,Thailand,132,66,4,8,106.4516129032258,53.2258064516129,12,1,26,11,29,13,198,66,1,India
Royal Selangor Club,2018,Sri Lanka,Malaysia,136,46,3,7,106.25,36.507936507936506,14,1,35,3,33,9,182,90,1,Sri Lanka
Kinrara Academy Oval,2018,Pakistan,Sri Lanka,136,113,4,9,109.6774193548387,93.38842975206612,11,11,18,33,15,15,249,23,1,Pakistan
Royal Selangor Club,2018,Malaysia,Thailand,36,37,8,1,29.75206611570248,66.07142857142857,1,1,7,21,10,0,73,1,0,Thailand
Kinrara Academy Oval,2018,India,Bangladesh,141,142,7,3,114.6341463414634,119.32773109243698,20,21,39,45,20,19,283,1,0,Bangladesh
Kinrara Academy Oval,2018,Thailand,Bangladesh,60,62,8,1,50.0,87.32394366197182,5,7,21,35,18,0,122,2,0,Bangladesh
Royal Selangor Club,2018,Pakistan,Malaysia,177,30,5,10,141.6,26.785714285714285,17,1,36,9,32,2,207,147,1,Pakistan
Royal Selangor Club,2018,Sri Lanka,India,107,110,7,3,86.29032258064517,95.65217391304348,6,8,22,24,10,18,217,3,0,India
Kinrara Academy Oval,2018,Pakistan,India,72,75,7,3,58.06451612903226,75.0,4,7,24,20,18,0,147,3,0,India
Royal Selangor Club,2018,Sri Lanka,Thailand,104,105,10,6,85.24590163934425,85.36585365853658,7,6,38,30,12,17,209,1,0,Thailand
Kinrara Academy Oval,2018,Bangladesh,Malaysia,130,60,4,9,104.0,49.18032786885246,12,8,30,14,33,5,190,70,1,Bangladesh
Kinrara Academy Oval,2018,India,Bangladesh,112,113,9,7,89.60000000000001,91.869918699187,10,12,19,31,24,23,225,1,0,Bangladesh
Providence Stadium,2018/19,India,New Zealand,194,160,5,9,161.66666666666666,129.03225806451613,26,23,38,48,39,30,354,34,1,India
Providence Stadium,2018/19,Australia,Pakistan,165,113,5,8,136.36363636363635,91.12903225806451,22,8,57,33,30,14,278,52,1,Australia
Providence Stadium,2018/19,West Indies,Bangladesh,106,46,8,10,85.48387096774194,50.0,7,3,21,15,26,0,152,60,1,West Indies
Providence Stadium,2018/19,Pakistan,India,133,127,7,3,108.130081300813,105.83333333333333,15,15,27,36,18,15,260,6,1,Pakistan
Providence Stadium,2018/19,Ireland,Australia,93,89,6,1,74.4,145.9016393442623,8,13,26,65,23,0,182,4,1,Ireland
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,Bangladesh,England,76,64,9,3,61.78861788617886,112.28070175438596,8,8,11,37,18,0,140,12,1,Bangladesh
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,Sri Lanka,South Africa,99,102,8,3,76.15384615384615,85.0,9,11,9,29,19,10,201,3,0,South Africa
Providence Stadium,2018/19,Pakistan,Ireland,139,101,6,9,111.20000000000002,81.45161290322581,16,10,19,30,22,10,240,38,1,Pakistan
Providence Stadium,2018/19,Australia,New Zealand,153,120,7,10,119.53125,109.09090909090908,20,11,43,22,24,2,273,33,1,Australia
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,Sri Lanka,Bangladesh,97,72,7,10,77.60000000000001,55.81395348837209,9,3,16,15,24,14,169,25,1,Sri Lanka
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,West Indies,South Africa,107,76,7,10,85.6,67.2566371681416,12,6,23,20,19,1,183,31,1,West Indies
Providence Stadium,2018/19,India,Ireland,145,93,6,8,115.07936507936508,73.80952380952381,16,8,39,26,20,11,238,52,1,India
Providence Stadium,2018/19,New Zealand,Pakistan,144,90,6,10,115.19999999999999,78.26086956521739,14,10,33,46,30,3,234,54,1,New Zealand
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,South Africa,England,85,87,10,3,70.24793388429752,101.16279069767442,8,11,22,36,5,0,172,2,0,England
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,West Indies,Sri Lanka,187,104,5,10,152.03252032520325,94.54545454545455,27,12,67,33,34,2,291,83,1,West Indies
Providence Stadium,2018/19,India,Australia,167,119,8,9,131.49606299212599,99.16666666666667,19,12,43,37,27,16,286,48,1,India
Providence Stadium,2018/19,Ireland,New Zealand,79,81,9,2,64.22764227642277,162.0,7,12,24,66,3,0,160,2,0,New Zealand
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,England,West Indies,115,117,8,6,93.4959349593496,98.31932773109243,10,13,30,24,20,24,232,2,0,West Indies
"Daren Sammy National Cricket Stadium, Gros Islet",2018/19,South Africa,Bangladesh,109,79,9,5,89.34426229508196,65.28925619834712,9,5,47,11,6,17,188,30,1,South Africa
"Sir Vivian Richards Stadium, North Sound",2018/19,Australia,West Indies,142,71,5,10,112.6984126984127,64.54545454545455,15,5,35,22,27,0,213,71,1,Australia
"Sir Vivian Richards Stadium, North Sound",2018/19,India,England,112,116,10,2,93.33333333333333,110.47619047619048,11,9,41,29,13,4,228,4,0,England
"Sir Vivian Richards Stadium, North Sound",2018/19,England,Australia,105,106,10,2,86.77685950413223,112.7659574468085,9,12,34,31,16,0,211,1,0,Australia
Sophia Gardens,2019,Pakistan,England,173,175,6,3,140.65040650406505,145.83333333333331,20,21,36,46,32,30,348,2,0,England
Sylhet International Cricket Stadium,2018/19,Bangladesh,West Indies,129,130,10,2,111.20689655172413,196.96969696969697,17,18,48,86,14,0,259,1,0,West Indies
"Shere Bangla National Stadium, Mirpur",2018/19,Bangladesh,West Indies,211,175,4,10,159.84848484848484,145.83333333333331,28,21,58,60,30,10,386,36,1,Bangladesh
"Shere Bangla National Stadium, Mirpur",2018/19,West Indies,Bangladesh,190,140,10,10,154.47154471544715,123.8938053097345,26,18,85,59,10,0,330,50,1,West Indies
Westpac Stadium,2018/19,New Zealand,India,219,139,6,10,175.2,115.83333333333334,28,18,65,50,37,9,358,80,1,New Zealand
Eden Park,2018/19,New Zealand,India,158,162,8,3,123.4375,137.28813559322032,14,17,41,49,20,14,320,4,0,India
Seddon Park,2018/19,New Zealand,India,212,208,4,6,172.3577235772358,163.7795275590551,28,26,65,51,30,41,420,4,1,New Zealand
Eden Park,2018/19,New Zealand,Sri Lanka,179,144,7,10,137.69230769230768,134.57943925233644,19,16,30,55,39,0,323,35,1,New Zealand
Westpac Stadium,2018/19,New Zealand,India,159,136,4,10,128.2258064516129,115.2542372881356,20,18,39,57,29,14,295,23,1,New Zealand
Eden Park,2018/19,India,New Zealand,135,136,7,6,112.5,111.47540983606557,12,13,52,33,24,17,271,1,0,New Zealand
Seddon Park,2018/19,New Zealand,India,161,159,7,4,134.16666666666666,128.2258064516129,21,21,50,55,21,24,320,2,1,New Zealand
"Brian Lara Stadium, Tarouba",2018,South Africa,West Indies,101,102,8,1,82.11382113821138,102.0,11,9,14,23,20,0,203,1,0,West Indies
"Brian Lara Stadium, Tarouba",2018,West Indies,South Africa,135,136,3,2,110.65573770491804,116.23931623931625,15,16,26,45,27,15,271,1,0,South Africa
"Brian Lara Stadium, Tarouba",2018,West Indies,South Africa,155,156,5,7,124.0,130.0,20,23,24,54,39,15,311,1,0,South Africa
Sheikh Zayed Stadium,2018/19,Pakistan,Australia,155,89,8,10,128.099173553719,88.11881188118812,16,12,42,25,24,0,244,66,1,Pakistan
Dubai International Cricket Stadium,2018/19,Pakistan,Australia,147,136,6,8,118.5483870967742,108.80000000000001,13,11,40,16,27,29,283,11,1,Pakistan
Dubai International Cricket Stadium,2018/19,Pakistan,Australia,150,117,5,10,120.96774193548387,100.0,18,12,52,49,24,11,267,33,1,Pakistan
Sheikh Zayed Stadium,2018/19,Pakistan,New Zealand,148,146,6,6,120.32520325203254,120.66115702479338,18,15,30,50,33,32,294,2,1,Pakistan
Dubai International Cricket Stadium,2018/19,New Zealand,Pakistan,153,154,7,4,124.39024390243902,125.20325203252031,16,15,48,48,28,21,307,1,0,Pakistan
Dubai International Cricket Stadium,2018/19,Pakistan,New Zealand,166,119,3,10,137.19008264462812,116.66666666666667,19,14,33,27,29,0,285,47,1,Pakistan
"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,Royal Challengers Bangalore,207,172,4,10,165.6,139.83739837398375,26,23,55,52,43,17,379,35,1,Sunrisers Hyderabad
Maharashtra Cricket Association Stadium,2017,Mumbai Indians,Rising Pune Supergiant,184,187,8,3,147.2,153.27868852459017,24,24,60,57,44,29,371,3,0,Rising Pune Supergiant
Saurashtra Cricket Association Stadium,2017,Gujarat Lions,Kolkata Knight Riders,183,184,4,0,150.0,191.66666666666669,26,26,51,67,40,0,367,1,0,Kolkata Knight Riders
Holkar Cricket Stadium,2017,Rising Pune Supergiant,Kings XI Punjab,163,164,6,4,130.4,134.4262295081967,18,20,35,54,32,18,327,1,0,Kings XI Punjab
M.Chinnaswamy Stadium,2017,Royal Challengers Bangalore,Delhi Daredevils,157,142,8,9,126.61290322580645,114.51612903225808,21,15,38,42,15,16,299,15,1,Royal Challengers Bangalore
"Rajiv Gandhi International Stadium, Uppal",2017,Gujarat Lions,Sunrisers Hyderabad,135,140,7,1,112.5,145.83333333333331,13,17,38,59,21,0,275,5,0,Sunrisers Hyderabad
Wankhede Stadium,2017,Kolkata Knight Riders,Mumbai Indians,178,180,7,6,139.0625,142.85714285714286,20,24,52,41,40,46,358,2,0,Mumbai Indians
Holkar Cricket Stadium,2017,Royal Challengers Bangalore,Kings XI Punjab,148,150,4,2,120.32520325203254,168.53932584269663,17,20,23,60,51,0,298,2,0,Kings XI Punjab
Maharashtra Cricket Association Stadium,2017,Delhi Daredevils,Rising Pune Supergiant,205,108,4,10,164.0,106.93069306930694,27,11,56,47,64,0,313,97,1,Delhi Daredevils
Wankhede Stadium,2017,Sunrisers Hyderabad,Mumbai Indians,158,159,8,6,125.39682539682539,140.7079646017699,21,22,33,60,17,10,317,1,0,Mumbai Indians
Eden Gardens,2017,Kings XI Punjab,Kolkata Knight Riders,170,171,9,2,130.76923076923077,164.4230769230769,24,25,47,68,24,0,341,1,0,Kolkata Knight Riders
M Chinnaswamy Stadium,2017,Royal Challengers Bangalore,Mumbai Indians,142,145,5,6,114.51612903225808,121.84873949579831,11,14,39,18,21,21,287,3,0,Mumbai Indians
Saurashtra Cricket Association Stadium,2017,Rising Pune Supergiant,Gujarat Lions,171,172,8,3,137.90322580645162,153.57142857142858,21,27,62,60,20,20,343,1,0,Gujarat Lions
Eden Gardens,2017,Kolkata Knight Riders,Sunrisers Hyderabad,172,155,6,6,136.5079365079365,125.0,20,21,37,43,20,25,327,17,1,Kolkata Knight Riders
Feroz Shah Kotla,2017,Delhi Daredevils,Kings XI Punjab,188,137,6,9,148.03149606299212,113.22314049586777,28,14,48,40,44,13,325,51,1,Delhi Daredevils
Wankhede Stadium,2017,Gujarat Lions,Mumbai Indians,176,177,4,4,139.68253968253967,141.6,19,19,44,48,30,22,353,1,0,Mumbai Indians
M Chinnaswamy Stadium,2017,Rising Pune Supergiant,Royal Challengers Bangalore,161,134,8,9,127.77777777777777,108.06451612903226,21,12,50,42,29,18,295,27,1,Rising Pune Supergiant
Feroz Shah Kotla,2017,Delhi Daredevils,Kolkata Knight Riders,168,169,7,6,137.70491803278688,137.39837398373984,23,18,53,48,20,21,337,1,0,Kolkata Knight Riders
"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,Kings XI Punjab,159,154,6,10,127.2,124.19354838709677,15,18,23,45,34,19,313,5,1,Sunrisers Hyderabad
Saurashtra Cricket Association Stadium,2017,Royal Challengers Bangalore,Gujarat Lions,213,192,2,7,173.17073170731706,152.38095238095238,30,24,45,56,47,35,405,21,1,Royal Challengers Bangalore
"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,Delhi Daredevils,191,176,4,5,155.28455284552845,144.2622950819672,22,24,38,54,33,30,367,15,1,Sunrisers Hyderabad
Holkar Cricket Stadium,2017,Kings XI Punjab,Mumbai Indians,198,199,4,2,155.90551181102362,203.06122448979593,26,28,45,78,29,0,397,1,0,Mumbai Indians
Eden Gardens,2017,Kolkata Knight Riders,Gujarat Lions,187,188,5,6,154.54545454545453,169.36936936936937,27,28,65,68,33,17,375,1,0,Gujarat Lions
Wankhede Stadium,2017,Mumbai Indians,Delhi Daredevils,142,128,8,7,111.81102362204724,102.4,15,14,38,21,21,25,270,14,1,Mumbai Indians
Maharashtra Cricket Association Stadium,2017,Sunrisers Hyderabad,Rising Pune Supergiant,176,179,3,4,141.93548387096774,147.93388429752065,22,24,41,54,41,48,355,3,0,Rising Pune Supergiant
Saurashtra Cricket Association Stadium,2017,Kings XI Punjab,Gujarat Lions,188,162,7,7,155.37190082644628,130.64516129032256,26,18,48,50,36,16,350,26,1,Kings XI Punjab
Eden Gardens,2017,Kolkata Knight Riders,Royal Challengers Bangalore,131,49,10,10,108.26446280991735,79.03225806451613,16,8,59,33,8,0,180,82,1,Kolkata Knight Riders
Wankhede Stadium,2017,Rising Pune Supergiant,Mumbai Indians,160,157,6,8,131.14754098360655,127.64227642276423,20,21,46,43,21,27,317,3,1,Rising Pune Supergiant
Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,Kolkata Knight Riders,182,184,5,3,145.6,161.4035087719298,22,24,54,41,31,6,366,2,0,Kolkata Knight Riders
M Chinnaswamy Stadium,2017,Royal Challengers Bangalore,Gujarat Lions,134,135,10,3,108.9430894308943,151.68539325842696,13,20,31,46,17,0,269,1,0,Gujarat Lions
Eden Gardens,2017,Delhi Daredevils,Kolkata Knight Riders,160,161,6,3,131.14754098360655,162.62626262626264,18,24,47,38,14,0,321,1,0,Kolkata Knight Riders
"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Sunrisers Hyderabad,Kings XI Punjab,207,181,3,9,169.672131147541,149.5867768595041,26,29,59,58,36,23,388,26,1,Sunrisers Hyderabad
Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,Royal Challengers Bangalore,157,96,3,9,127.64227642276423,78.68852459016394,18,7,42,37,27,14,253,61,1,Rising Pune Supergiant
Saurashtra Cricket Association Stadium,2017,Gujarat Lions,Mumbai Indians,153,153,9,10,118.6046511627907,126.44628099173553,19,19,45,61,40,23,306,0,0,Mumbai Indians
"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Delhi Daredevils,Kings XI Punjab,67,68,10,0,62.03703703703704,138.77551020408163,5,10,24,48,0,0,135,1,0,Kings XI Punjab
"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,Kolkata Knight Riders,209,161,3,7,167.2,131.9672131147541,26,17,75,44,33,22,370,48,1,Sunrisers Hyderabad
Wankhede Stadium,2017,Royal Challengers Bangalore,Mumbai Indians,162,165,8,6,132.78688524590163,134.14634146341464,18,20,51,53,30,30,327,3,0,Mumbai Indians
Maharashtra Cricket Association Stadium,2017,Gujarat Lions,Rising Pune Supergiant,161,167,10,5,133.05785123966942,135.77235772357724,20,20,54,41,14,40,328,6,0,Rising Pune Supergiant
Feroz Shah Kotla,2017,Sunrisers Hyderabad,Delhi Daredevils,185,189,3,4,150.40650406504065,161.53846153846155,27,25,62,62,51,27,374,4,0,Delhi Daredevils
Eden Gardens,2017,Kolkata Knight Riders,Rising Pune Supergiant,155,158,8,6,129.16666666666669,133.89830508474577,21,22,36,67,35,11,313,3,0,Rising Pune Supergiant
Feroz Shah Kotla,2017,Gujarat Lions,Delhi Daredevils,208,214,7,3,167.74193548387098,194.54545454545456,27,28,58,58,29,6,422,6,0,Delhi Daredevils
M Chinnaswamy Stadium,2017,Kings XI Punjab,Royal Challengers Bangalore,138,119,7,10,112.19512195121952,101.7094017094017,14,13,35,46,27,8,257,19,1,Kings XI Punjab
"Rajiv Gandhi International Stadium, Uppal",2017,Rising Pune Supergiant,Sunrisers Hyderabad,148,136,8,9,119.35483870967742,111.47540983606557,11,16,34,47,29,18,284,12,1,Rising Pune Supergiant
Feroz Shah Kotla,2017,Mumbai Indians,Delhi Daredevils,212,66,3,10,165.625,79.51807228915662,26,8,51,34,40,0,278,146,1,Mumbai Indians
M Chinnaswamy Stadium,2017,Royal Challengers Bangalore,Kolkata Knight Riders,158,159,6,4,129.5081967213115,169.14893617021275,17,22,39,103,42,0,317,1,0,Kolkata Knight Riders
"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Kings XI Punjab,Gujarat Lions,189,192,3,4,153.65853658536585,158.67768595041323,21,23,42,56,39,28,381,3,0,Gujarat Lions
"Rajiv Gandhi International Stadium, Uppal",2017,Mumbai Indians,Sunrisers Hyderabad,138,140,7,3,109.52380952380953,125.0,13,15,34,43,21,11,278,2,0,Sunrisers Hyderabad
"Punjab Cricket Association IS Bindra Stadium, Mohali",2017,Kings XI Punjab,Kolkata Knight Riders,167,153,6,6,132.53968253968253,125.40983606557377,18,18,38,61,30,22,320,14,1,Kings XI Punjab
Green Park,2017,Gujarat Lions,Delhi Daredevils,195,197,5,8,157.25806451612902,165.54621848739495,26,35,46,64,31,22,392,2,0,Delhi Daredevils
Wankhede Stadium,2017,Kings XI Punjab,Mumbai Indians,230,223,3,6,178.29457364341087,176.984126984127,30,32,68,65,30,30,453,7,1,Kings XI Punjab
Feroz Shah Kotla,2017,Delhi Daredevils,Rising Pune Supergiant,168,161,8,7,135.48387096774192,128.8,20,19,52,51,25,25,329,7,1,Delhi Daredevils
Green Park,2017,Gujarat Lions,Sunrisers Hyderabad,154,158,10,2,130.5084745762712,143.63636363636363,21,23,60,45,9,16,312,4,0,Sunrisers Hyderabad
Eden Gardens,2017,Mumbai Indians,Kolkata Knight Riders,173,164,5,8,138.39999999999998,131.20000000000002,24,21,42,49,32,15,337,9,1,Mumbai Indians
Maharashtra Cricket Association Stadium,2017,Kings XI Punjab,Rising Pune Supergiant,73,78,10,1,74.48979591836735,106.84931506849315,7,7,30,42,0,0,151,5,0,Rising Pune Supergiant
Feroz Shah Kotla,2017,Royal Challengers Bangalore,Delhi Daredevils,161,151,6,10,126.77165354330708,123.77049180327869,18,19,36,37,29,23,312,10,1,Royal Challengers Bangalore
Wankhede Stadium,2017,Rising Pune Supergiant,Mumbai Indians,162,142,4,9,129.6,111.81102362204724,17,14,31,40,44,31,304,20,1,Rising Pune Supergiant
M Chinnaswamy Stadium,2017,Sunrisers Hyderabad,Kolkata Knight Riders,128,48,7,3,104.91803278688525,137.14285714285714,14,5,29,44,22,0,176,80,1,Sunrisers Hyderabad
M Chinnaswamy Stadium,2017,Kolkata Knight Riders,Mumbai Indians,107,111,10,4,92.24137931034483,121.97802197802199,11,14,22,31,6,0,218,4,0,Mumbai Indians
"Rajiv Gandhi International Stadium, Uppal",2017,Mumbai Indians,Rising Pune Supergiant,129,128,8,6,103.2,104.06504065040652,13,11,31,33,34,26,257,1,1,Mumbai Indians
Wankhede Stadium,2018,Mumbai Indians,Chennai Super Kings,165,169,4,9,135.24590163934425,136.29032258064515,23,21,38,42,24,50,334,4,0,Chennai Super Kings
Punjab Cricket Association IS Bindra Stadium,2018,Delhi Daredevils,Kings XI Punjab,166,167,7,4,133.8709677419355,146.49122807017542,16,23,42,73,26,14,333,1,0,Kings XI Punjab
Eden Gardens,2018,Royal Challengers Bangalore,Kolkata Knight Riders,176,177,7,6,145.45454545454547,143.90243902439025,24,24,47,65,33,13,353,1,0,Kolkata Knight Riders
Rajiv Gandhi International Stadium,2018,Rajasthan Royals,Sunrisers Hyderabad,125,127,9,1,100.0,127.0,12,19,45,54,8,0,252,2,0,Sunrisers Hyderabad
MA Chidambaram Stadium,2018,Kolkata Knight Riders,Chennai Super Kings,202,205,6,5,164.22764227642276,166.66666666666669,28,24,63,75,43,42,407,3,0,Chennai Super Kings
Sawai Mansingh Stadium,2018,Rajasthan Royals,Delhi Daredevils,153,60,5,4,140.36697247706422,162.16216216216216,17,9,51,57,8,0,213,93,1,Rajasthan Royals
Rajiv Gandhi International Stadium,2018,Mumbai Indians,Sunrisers Hyderabad,147,151,8,9,118.5483870967742,124.79338842975207,21,19,49,55,16,17,298,4,0,Sunrisers Hyderabad
M.Chinnaswamy Stadium,2018,Kings XI Punjab,Royal Challengers Bangalore,155,159,10,6,130.25210084033614,134.74576271186442,18,21,49,40,17,25,314,4,0,Royal Challengers Bangalore
Wankhede Stadium,2018,Mumbai Indians,Delhi Daredevils,194,195,7,3,155.20000000000002,161.15702479338842,26,28,78,53,16,23,389,1,0,Delhi Daredevils
Eden Gardens,2018,Kolkata Knight Riders,Sunrisers Hyderabad,138,139,8,5,112.19512195121952,116.80672268907564,16,17,49,42,23,20,277,1,0,Sunrisers Hyderabad
M.Chinnaswamy Stadium,2018,Rajasthan Royals,Royal Challengers Bangalore,217,198,4,6,169.53125,160.97560975609758,28,27,48,63,59,41,415,19,1,Rajasthan Royals
Punjab Cricket Association IS Bindra Stadium,2018,Kings XI Punjab,Chennai Super Kings,197,193,7,5,162.80991735537188,149.6124031007752,28,23,74,48,32,49,390,4,1,Kings XI Punjab
Eden Gardens,2018,Kolkata Knight Riders,Delhi Daredevils,200,129,9,10,163.9344262295082,141.75824175824175,29,18,50,49,18,0,329,71,1,Kolkata Knight Riders
Wankhede Stadium,2018,Mumbai Indians,Royal Challengers Bangalore,213,167,6,8,167.71653543307085,134.6774193548387,31,19,49,53,43,32,380,46,1,Mumbai Indians
Sawai Mansingh Stadium,2018,Rajasthan Royals,Kolkata Knight Riders,160,163,8,3,129.03225806451613,141.73913043478262,19,21,47,53,29,20,323,3,0,Kolkata Knight Riders
Punjab Cricket Association IS Bindra Stadium,2018,Kings XI Punjab,Sunrisers Hyderabad,193,178,3,5,156.91056910569105,136.92307692307693,24,16,45,38,28,39,371,15,1,Kings XI Punjab
Maharashtra Cricket Association Stadium,2018,Chennai Super Kings,Rajasthan Royals,204,140,5,10,161.9047619047619,117.64705882352942,31,13,68,33,27,10,344,64,1,Chennai Super Kings
Eden Gardens,2018,Kolkata Knight Riders,Kings XI Punjab,191,126,7,1,149.21875,182.6086956521739,26,22,47,72,24,0,317,65,1,Kolkata Knight Riders
M.Chinnaswamy Stadium,2018,Delhi Daredevils,Royal Challengers Bangalore,174,176,5,4,141.46341463414635,158.55855855855856,23,23,25,42,37,13,350,2,0,Royal Challengers Bangalore
Rajiv Gandhi International Stadium,2018,Chennai Super Kings,Sunrisers Hyderabad,182,178,3,6,146.7741935483871,145.9016393442623,26,22,26,39,36,37,360,4,1,Chennai Super Kings
Sawai Mansingh Stadium,2018,Mumbai Indians,Rajasthan Royals,167,168,7,7,134.6774193548387,135.48387096774192,20,17,42,42,26,41,335,1,0,Rajasthan Royals
Arun Jaitley Stadium,2018,Kings XI Punjab,Delhi Daredevils,143,139,8,8,115.3225806451613,109.4488188976378,14,15,50,44,13,22,282,4,1,Kings XI Punjab
Wankhede Stadium,2018,Sunrisers Hyderabad,Mumbai Indians,118,87,10,10,101.72413793103448,76.31578947368422,14,11,41,21,9,7,205,31,1,Sunrisers Hyderabad
M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,Chennai Super Kings,205,207,8,5,165.3225806451613,162.99212598425197,25,26,52,54,38,42,412,2,0,Chennai Super Kings
Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,Kings XI Punjab,132,119,6,10,107.31707317073172,102.58620689655173,13,13,35,44,27,17,251,13,1,Sunrisers Hyderabad
Arun Jaitley Stadium,2018,Delhi Daredevils,Kolkata Knight Riders,219,164,4,9,178.0487804878049,133.33333333333331,31,21,57,51,56,20,383,55,1,Delhi Daredevils
Maharashtra Cricket Association Stadium,2018,Chennai Super Kings,Mumbai Indians,169,170,5,2,136.29032258064515,138.21138211382114,21,20,50,48,26,36,339,1,0,Mumbai Indians
Sawai Mansingh Stadium,2018,Sunrisers Hyderabad,Rajasthan Royals,151,140,7,6,125.83333333333333,116.66666666666667,17,11,39,43,17,24,291,11,1,Sunrisers Hyderabad
M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,Kolkata Knight Riders,175,176,4,5,141.1290322580645,144.2622950819672,21,24,37,49,39,29,351,1,0,Kolkata Knight Riders
Maharashtra Cricket Association Stadium,2018,Chennai Super Kings,Delhi Daredevils,211,198,4,5,170.16129032258064,157.14285714285714,28,26,55,58,40,37,409,13,1,Chennai Super Kings
M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,Mumbai Indians,167,153,7,7,135.77235772357724,117.6923076923077,21,17,42,34,26,20,320,14,1,Royal Challengers Bangalore
Arun Jaitley Stadium,2018,Delhi Daredevils,Rajasthan Royals,196,146,6,5,179.8165137614679,194.66666666666669,30,21,62,77,0,0,342,50,1,Delhi Daredevils
Eden Gardens,2018,Chennai Super Kings,Kolkata Knight Riders,177,180,5,4,143.90243902439025,159.2920353982301,24,27,57,54,26,14,357,3,0,Kolkata Knight Riders
Holkar Cricket Stadium,2018,Kings XI Punjab,Mumbai Indians,174,176,6,4,139.2,151.72413793103448,21,24,47,38,38,33,350,2,0,Mumbai Indians
Maharashtra Cricket Association Stadium,2018,Royal Challengers Bangalore,Chennai Super Kings,127,128,9,4,104.95867768595042,114.28571428571428,15,16,44,41,28,20,255,1,0,Chennai Super Kings
Rajiv Gandhi International Stadium,2018,Delhi Daredevils,Sunrisers Hyderabad,163,164,5,3,133.60655737704917,132.25806451612902,17,16,59,58,28,31,327,1,0,Sunrisers Hyderabad
Wankhede Stadium,2018,Mumbai Indians,Kolkata Knight Riders,181,168,4,6,144.79999999999998,138.84297520661158,25,26,56,42,26,29,349,13,1,Mumbai Indians
Holkar Cricket Stadium,2018,Rajasthan Royals,Kings XI Punjab,152,155,9,4,125.6198347107438,134.7826086956522,17,19,39,32,23,29,307,3,0,Kings XI Punjab
Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,146,141,10,6,115.87301587301589,114.6341463414634,17,16,35,54,21,18,287,5,1,Sunrisers Hyderabad
Sawai Mansingh Stadium,2018,Rajasthan Royals,Kings XI Punjab,158,143,8,7,129.5081967213115,117.21311475409837,17,15,62,32,24,40,301,15,1,Rajasthan Royals
Eden Gardens,2018,Mumbai Indians,Kolkata Knight Riders,210,108,6,10,168.0,99.08256880733946,30,16,47,47,46,2,318,102,1,Mumbai Indians
Arun Jaitley Stadium,2018,Delhi Daredevils,Sunrisers Hyderabad,187,191,5,1,154.54545454545453,167.54385964912282,28,26,37,50,53,21,378,4,0,Sunrisers Hyderabad
