venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
Dubai International Cricket Stadium,2016/17,Ireland,Scotland,211,113,6,10,170.16129032258064,122.82608695652173,29,15,70,65,40,0,324,98,1,Ireland
Mangaung Oval,2017/18,South Africa,Bangladesh,195,175,4,9,156.0,137.79527559055117,20,21,62,50,37,25,370,20,1,South Africa
Senwes Park,2017/18,South Africa,Bangladesh,224,141,4,10,183.60655737704917,120.51282051282051,31,16,45,44,59,8,365,83,1,South Africa
"Kensington Oval, Bridgetown",2017,West Indies,Pakistan,111,115,8,4,89.51612903225806,107.4766355140187,12,13,33,39,26,4,226,4,0,Pakistan
"Queen's Park Oval, Port of Spain",2017,Pakistan,West Indies,132,129,10,8,109.09090909090908,104.8780487804878,16,15,33,29,34,25,261,3,1,Pakistan
R Premadasa Stadium,2016/17,Bangladesh,Sri Lanka,155,158,6,4,122.04724409448819,137.3913043478261,14,20,45,52,23,19,313,3,0,Sri Lanka
R Premadasa Stadium,2016/17,Bangladesh,Sri Lanka,176,131,9,10,140.79999999999998,119.0909090909091,21,15,63,44,24,7,307,45,1,Bangladesh
"Queen's Park Oval, Port of Spain",2017,Pakistan,West Indies,137,138,8,3,112.29508196721312,148.38709677419354,12,20,41,46,14,0,275,1,0,West Indies
"Queen's Park Oval, Port of Spain",2017,West Indies,Pakistan,124,127,8,3,102.4793388429752,108.54700854700855,14,14,40,38,29,11,251,3,0,Pakistan
North Sydney Oval,2017/18,England,Australia,132,134,9,4,104.76190476190477,136.73469387755102,13,19,17,42,25,0,266,2,0,Australia
Manuka Oval,2017/18,England,Australia,152,112,6,10,122.58064516129032,99.11504424778761,16,12,35,42,27,2,264,40,1,England
Manuka Oval,2017/18,Australia,England,178,181,2,6,144.71544715447155,156.0344827586207,27,22,46,36,40,13,359,3,0,England
Sheikh Zayed Stadium,2017,Papua New Guinea,United Arab Emirates,102,108,10,5,90.2654867256637,116.12903225806453,8,14,13,49,5,0,210,6,0,United Arab Emirates
