team_name
Africa XI
Argentina
Asia XI
Australia
Austria
Bahamas
Bahrain
Bangladesh
Barbados
Belgium
Belize
Bermuda
Bhutan
Botswana
Brazil
Bulgaria
Cambodia
Cameroon
Canada
Cayman Islands
Chennai Super Kings
China
Cook Islands
Costa Rica
Croatia
Cyprus
Czech Republic
Deccan Chargers
Delhi Capitals
Delhi Daredevils
Denmark
England
Estonia
Eswatini
Fiji
Finland
France
Gambia
Germany
Ghana
Gibraltar
Greece
Guernsey
Gujarat Lions
Gujarat Titans
Hong Kong
Hungary
ICC World XI
India
Indonesia
Iran
Ireland
Isle of Man
Israel
Italy
Japan
Jersey
Kenya
Kings XI Punjab
Kochi Tuskers Kerala
Kolkata Knight Riders
Kuwait
Lesotho
Lucknow Super Giants
Luxembourg
Malawi
Malaysia
Maldives
Mali
Malta
Mexico
Mongolia
Mozambique
Mumbai Indians
Myanmar
Namibia
Nepal
Netherlands
New Zealand
Nigeria
Norway
Oman
Pakistan
Panama
Papua New Guinea
Philippines
Portugal
Pune Warriors
Punjab Kings
Qatar
Rajasthan Royals
Rising Pune Supergiant
Rising Pune Supergiants
Romania
Royal Challengers Bangalore
Royal Challengers Bengaluru
Rwanda
Samoa
Saudi Arabia
Scotland
Serbia
Seychelles
Sierra Leone
Singapore
Slovenia
South Africa
South Korea
Spain
Sri Lanka
St Helena
Sunrisers Hyderabad
Suriname
Swaziland
Sweden
Switzerland
Tanzania
Thailand
Turkey
Turks and Caicos Island
Uganda
United Arab Emirates
United States of America
Vanuatu
West Indies
Zimbabwe
