venue_name
AMI Stadium
"Achimota Senior Secondary School A Field, Accra"
"Achimota Senior Secondary School B Field, Accra"
Adelaide Oval
Affies Park
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
"Albert Park 1, Suva"
"Albert Park 2, Suva"
Albertslund Cricket Club
Allan Border Field
"Allan Border Field, Brisbane"
Amini Park
"Amini Park, Port Moresby"
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium
"Antigua Recreation Ground, St John's"
Arbab Niaz Stadium
Arnos Vale Ground
"Arnos Vale Ground, Kingstown"
"Arnos Vale Ground, Kingstown, St Vincent"
Arun Jaitley Stadium
"Arun Jaitley Stadium, Delhi"
Arundel Castle Cricket Club Ground
Asian Institute of Technology Ground
"Ballpark Ground, Graz"
Bangabandhu National Stadium
"Bangabandhu National Stadium, Dhaka"
Barabati Stadium
"Barabati Stadium, Cuttack"
Barsapara Cricket Stadium
"Barsapara Cricket Stadium, Guwahati"
Basin Reserve
"Basin Reserve, Wellington"
Bay Oval
"Bay Oval, Mount Maunganui"
Bayer Uerdingen Cricket Ground
"Bayuemas Oval, Kuala Lumpur"
"Beausejour Stadium, Gros Islet"
"Belgrano Athletic Club Ground, Buenos Aires"
Bellerive Oval
"Bellerive Oval, Hobart"
Bermuda National Stadium
Bert Sutcliffe Oval
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Boland Bank Park
"Boland Bank Park, Paarl"
Boland Park
"Boland Park, Paarl"
"Botkyrka Cricket Center, Stockholm"
Botswana Cricket Association Oval 1
"Botswana Cricket Association Oval 1, Gaborone"
Botswana Cricket Association Oval 2
"Botswana Cricket Association Oval 2, Gaborone"
Brabourne Stadium
"Brabourne Stadium, Mumbai"
Bradman Oval
Bready
"Bready Cricket Club, Magheramason"
"Bready Cricket Club, Magheramason, Bready"
"Brian Lara Stadium, Tarouba"
"Brian Lara Stadium, Tarouba, Trinidad"
Brisbane Cricket Ground
"Brisbane Cricket Ground, Woolloongabba"
"Brisbane Cricket Ground, Woolloongabba, Brisbane"
Buffalo Park
"Buffalo Park, East London"
Bulawayo Athletic Club
"Bundaberg Rum Stadium, Cairns"
"Cambusdoon New Ground, Ayr"
Captain Roop Singh Stadium
"Captain Roop Singh Stadium, Gwalior"
Carisbrook
Carrara Oval
Castle Avenue
"Castle Avenue, Dublin"
"Cazaly's Stadium, Cairns"
Central Broward Regional Park Stadium Turf Ground
"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
"Centre for Cricket Development Ground, Windhoek"
Chevrolet Park
Chilaw Marians Cricket Club Ground
Chittagong Divisional Stadium
"Choice Moosa Stadium, Pearland"
City Oval
"City Oval, Pietermaritzburg"
"Civil Service Cricket Club, Stormont"
"Civil Service Cricket Club, Stormont, Belfast"
"Clayton Panama, Panama City"
Clontarf Cricket Club Ground
"Clontarf Cricket Club Ground, Dublin"
Cobham Oval (New)
College Field
"College Field, St Peter Port"
Colombo Cricket Club Ground
Colts Cricket Club Ground
Coolidge Cricket Ground
"Coolidge Cricket Ground, Antigua"
County Ground
"County Ground, Bristol"
"County Ground, Chelmsford"
"County Ground, Derby"
"County Ground, Hove"
"County Ground, New Road"
"County Ground, New Road, Worcester"
"County Ground, Northampton"
Daren Sammy National Cricket Stadium
"Daren Sammy National Cricket Stadium, Gros Islet"
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
"Darren Sammy National Cricket Stadium, St Lucia"
"Davies Park, Queenstown"
De Beers Diamond Oval
"De Beers Diamond Oval, Kimberley"
Desert Springs Cricket Ground
"Desert Springs Cricket Ground, Almeria"
Diamond Oval
"Diamond Oval, Kimberley"
Docklands Stadium
Dr DY Patil Sports Academy
"Dr DY Patil Sports Academy, Mumbai"
"Dr DY Patil Sports Academy, Navi Mumbai"
